======================================================================
ANALIZADOR LÉXICO - MINIKOTLIN MEJORADO
Usuario: LuisRoca09
Fecha: 26/11/2025 16:22:47
======================================================================

=== TOKENS RECONOCIDOS ===

FUN             (fun) -> línea 4, col 1
IDENT           (contarHastaDiez) -> línea 4, col 5
LPAREN          (() -> línea 4, col 20
RPAREN          ()) -> línea 4, col 21
LBRACE          ({) -> línea 4, col 23
VAR             (var) -> línea 5, col 5
IDENT           (i) -> línea 5, col 9
EQUAL           (=) -> línea 5, col 11
INT             (0) -> línea 5, col 13
WHILE           (while) -> línea 6, col 5
LPAREN          (() -> línea 6, col 11
IDENT           (i) -> línea 6, col 12
LT              (<) -> línea 6, col 14
INT             (10) -> línea 6, col 16
RPAREN          ()) -> línea 6, col 18
LBRACE          ({) -> línea 6, col 20
PRINTLN         (println) -> línea 7, col 9
LPAREN          (() -> línea 7, col 16
IDENT           (i) -> línea 7, col 17
RPAREN          ()) -> línea 7, col 18
IDENT           (i) -> línea 8, col 9
PLUSPLUS        (++) -> línea 8, col 10
RBRACE          (}) -> línea 9, col 5
RETURN          (return) -> línea 10, col 5
RBRACE          (}) -> línea 11, col 1
FUN             (fun) -> línea 15, col 1
IDENT           (imprimirNumeros) -> línea 15, col 5
LPAREN          (() -> línea 15, col 20
RPAREN          ()) -> línea 15, col 21
LBRACE          ({) -> línea 15, col 23
FOR             (for) -> línea 16, col 5
LPAREN          (() -> línea 16, col 9
IDENT           (numero) -> línea 16, col 10
IN              (in) -> línea 16, col 17
INT             (1) -> línea 16, col 20
RANGE           (..) -> línea 16, col 21
INT             (20) -> línea 16, col 23
RPAREN          ()) -> línea 16, col 25
LBRACE          ({) -> línea 16, col 27
PRINTLN         (println) -> línea 17, col 9
LPAREN          (() -> línea 17, col 16
IDENT           (numero) -> línea 17, col 17
RPAREN          ()) -> línea 17, col 23
RBRACE          (}) -> línea 18, col 5
RETURN          (return) -> línea 19, col 5
RBRACE          (}) -> línea 20, col 1
FUN             (fun) -> línea 24, col 1
IDENT           (compararNumeros) -> línea 24, col 5
LPAREN          (() -> línea 24, col 20
IDENT           (a) -> línea 24, col 21
COLON           (:) -> línea 24, col 22
IDENT           (Int) -> línea 24, col 24
COMMA           (,) -> línea 24, col 27
IDENT           (b) -> línea 24, col 29
COLON           (:) -> línea 24, col 30
IDENT           (Int) -> línea 24, col 32
RPAREN          ()) -> línea 24, col 35
LBRACE          ({) -> línea 24, col 37
VAL             (val) -> línea 25, col 5
IDENT           (menor) -> línea 25, col 9
EQUAL           (=) -> línea 25, col 15
IDENT           (a) -> línea 25, col 17
LT              (<) -> línea 25, col 19
IDENT           (b) -> línea 25, col 21
VAL             (val) -> línea 26, col 5
IDENT           (mayor) -> línea 26, col 9
EQUAL           (=) -> línea 26, col 15
IDENT           (a) -> línea 26, col 17
GT              (>) -> línea 26, col 19
IDENT           (b) -> línea 26, col 21
VAL             (val) -> línea 27, col 5
IDENT           (menorIgual) -> línea 27, col 9
EQUAL           (=) -> línea 27, col 20
IDENT           (a) -> línea 27, col 22
LTE             (<=) -> línea 27, col 24
IDENT           (b) -> línea 27, col 27
VAL             (val) -> línea 28, col 5
IDENT           (mayorIgual) -> línea 28, col 9
EQUAL           (=) -> línea 28, col 20
IDENT           (a) -> línea 28, col 22
GTE             (>=) -> línea 28, col 24
IDENT           (b) -> línea 28, col 27
VAL             (val) -> línea 29, col 5
IDENT           (igual) -> línea 29, col 9
EQUAL           (=) -> línea 29, col 15
IDENT           (a) -> línea 29, col 17
EQEQ            (==) -> línea 29, col 19
IDENT           (b) -> línea 29, col 22
VAL             (val) -> línea 30, col 5
IDENT           (diferente) -> línea 30, col 9
EQUAL           (=) -> línea 30, col 19
IDENT           (a) -> línea 30, col 21
NEQ             (!=) -> línea 30, col 23
IDENT           (b) -> línea 30, col 26
RETURN          (return) -> línea 32, col 5
RBRACE          (}) -> línea 33, col 1
FUN             (fun) -> línea 37, col 1
IDENT           (validarRango) -> línea 37, col 5
LPAREN          (() -> línea 37, col 17
IDENT           (numero) -> línea 37, col 18
COLON           (:) -> línea 37, col 24
IDENT           (Int) -> línea 37, col 26
RPAREN          ()) -> línea 37, col 29
COLON           (:) -> línea 37, col 30
IDENT           (Boolean) -> línea 37, col 32
LBRACE          ({) -> línea 37, col 40
RETURN          (return) -> línea 38, col 5
IDENT           (numero) -> línea 38, col 12
GTE             (>=) -> línea 38, col 19
INT             (1) -> línea 38, col 22
AND             (&&) -> línea 38, col 24
IDENT           (numero) -> línea 38, col 27
LTE             (<=) -> línea 38, col 34
INT             (100) -> línea 38, col 37
RBRACE          (}) -> línea 39, col 1
FUN             (fun) -> línea 41, col 1
IDENT           (estaFueraDeRango) -> línea 41, col 5
LPAREN          (() -> línea 41, col 21
IDENT           (n) -> línea 41, col 22
COLON           (:) -> línea 41, col 23
IDENT           (Int) -> línea 41, col 25
RPAREN          ()) -> línea 41, col 28
COLON           (:) -> línea 41, col 29
IDENT           (Boolean) -> línea 41, col 31
LBRACE          ({) -> línea 41, col 39
RETURN          (return) -> línea 42, col 5
IDENT           (n) -> línea 42, col 12
LT              (<) -> línea 42, col 14
INT             (0) -> línea 42, col 16
OR              (||) -> línea 42, col 18
IDENT           (n) -> línea 42, col 21
GT              (>) -> línea 42, col 23
INT             (100) -> línea 42, col 25
RBRACE          (}) -> línea 43, col 1
FUN             (fun) -> línea 47, col 1
IDENT           (invertir) -> línea 47, col 5
LPAREN          (() -> línea 47, col 13
IDENT           (valor) -> línea 47, col 14
COLON           (:) -> línea 47, col 19
IDENT           (Boolean) -> línea 47, col 21
RPAREN          ()) -> línea 47, col 28
COLON           (:) -> línea 47, col 29
IDENT           (Boolean) -> línea 47, col 31
LBRACE          ({) -> línea 47, col 39
RETURN          (return) -> línea 48, col 5
BANG            (!) -> línea 48, col 12
IDENT           (valor) -> línea 48, col 13
RBRACE          (}) -> línea 49, col 1
VAL             (val) -> línea 53, col 1
IDENT           (verdadero) -> línea 53, col 5
EQUAL           (=) -> línea 53, col 15
TRUE            (true) -> línea 53, col 17
VAL             (val) -> línea 54, col 1
IDENT           (falso) -> línea 54, col 5
EQUAL           (=) -> línea 54, col 11
FALSE           (false) -> línea 54, col 13
VAL             (val) -> línea 55, col 1
IDENT           (nulo) -> línea 55, col 5
EQUAL           (=) -> línea 55, col 10
NULL            (null) -> línea 55, col 12
FUN             (fun) -> línea 61, col 1
IDENT           (tablaMultiplicar) -> línea 61, col 5
LPAREN          (() -> línea 61, col 21
RPAREN          ()) -> línea 61, col 22
LBRACE          ({) -> línea 61, col 24
VAR             (var) -> línea 62, col 5
IDENT           (i) -> línea 62, col 9
EQUAL           (=) -> línea 62, col 11
INT             (1) -> línea 62, col 13
WHILE           (while) -> línea 63, col 5
LPAREN          (() -> línea 63, col 11
IDENT           (i) -> línea 63, col 12
LTE             (<=) -> línea 63, col 14
INT             (5) -> línea 63, col 17
RPAREN          ()) -> línea 63, col 18
LBRACE          ({) -> línea 63, col 20
VAR             (var) -> línea 64, col 9
IDENT           (j) -> línea 64, col 13
EQUAL           (=) -> línea 64, col 15
INT             (1) -> línea 64, col 17
WHILE           (while) -> línea 65, col 9
LPAREN          (() -> línea 65, col 15
IDENT           (j) -> línea 65, col 16
LTE             (<=) -> línea 65, col 18
INT             (5) -> línea 65, col 21
