======================================================================
ANALIZADOR LÉXICO
Usuario: ingreso
Fecha: 26/11/2025 16:39:36
======================================================================

=== TOKENS RECONOCIDOS ===

FUN             (fun) -> línea 5, col 1
IDENT           (pedirNombre) -> línea 5, col 5
LPAREN          (() -> línea 5, col 16
RPAREN          ()) -> línea 5, col 17
LBRACE          ({) -> línea 5, col 19
PRINTLN         (println) -> línea 6, col 5
LPAREN          (() -> línea 6, col 12
STRING          (Ingresa tu nombre:) -> línea 6, col 13
RPAREN          ()) -> línea 6, col 33
SEMICOLON       (;) -> línea 6, col 34
VAL             (val) -> línea 7, col 5
IDENT           (nombre) -> línea 7, col 9
EQUAL           (=) -> línea 7, col 16
READLN          (readln) -> línea 7, col 18
LPAREN          (() -> línea 7, col 24
RPAREN          ()) -> línea 7, col 25
SEMICOLON       (;) -> línea 7, col 26
PRINTLN         (println) -> línea 8, col 5
LPAREN          (() -> línea 8, col 12
STRING          (Hola ) -> línea 8, col 13
RPAREN          ()) -> línea 8, col 20
SEMICOLON       (;) -> línea 8, col 21
PRINTLN         (println) -> línea 9, col 5
LPAREN          (() -> línea 9, col 12
IDENT           (nombre) -> línea 9, col 13
RPAREN          ()) -> línea 9, col 19
SEMICOLON       (;) -> línea 9, col 20
RETURN          (return) -> línea 10, col 5
SEMICOLON       (;) -> línea 10, col 11
RBRACE          (}) -> línea 11, col 1
FUN             (fun) -> línea 14, col 1
IDENT           (pedirEdad) -> línea 14, col 5
LPAREN          (() -> línea 14, col 14
RPAREN          ()) -> línea 14, col 15
LBRACE          ({) -> línea 14, col 17
PRINTLN         (println) -> línea 15, col 5
LPAREN          (() -> línea 15, col 12
STRING          (Ingresa tu edad:) -> línea 15, col 13
RPAREN          ()) -> línea 15, col 31
SEMICOLON       (;) -> línea 15, col 32
VAL             (val) -> línea 16, col 5
IDENT           (edad) -> línea 16, col 9
EQUAL           (=) -> línea 16, col 14
READLN          (readln) -> línea 16, col 16
LPAREN          (() -> línea 16, col 22
RPAREN          ()) -> línea 16, col 23
SEMICOLON       (;) -> línea 16, col 24
PRINTLN         (println) -> línea 17, col 5
LPAREN          (() -> línea 17, col 12
STRING          (Tienes ) -> línea 17, col 13
RPAREN          ()) -> línea 17, col 22
SEMICOLON       (;) -> línea 17, col 23
PRINTLN         (println) -> línea 18, col 5
LPAREN          (() -> línea 18, col 12
IDENT           (edad) -> línea 18, col 13
RPAREN          ()) -> línea 18, col 17
SEMICOLON       (;) -> línea 18, col 18
PRINTLN         (println) -> línea 19, col 5
LPAREN          (() -> línea 19, col 12
STRING          ( años) -> línea 19, col 13
RPAREN          ()) -> línea 19, col 20
SEMICOLON       (;) -> línea 19, col 21
RETURN          (return) -> línea 20, col 5
SEMICOLON       (;) -> línea 20, col 11
RBRACE          (}) -> línea 21, col 1
FUN             (fun) -> línea 24, col 1
IDENT           (formulario) -> línea 24, col 5
LPAREN          (() -> línea 24, col 15
RPAREN          ()) -> línea 24, col 16
LBRACE          ({) -> línea 24, col 18
PRINTLN         (println) -> línea 25, col 5
LPAREN          (() -> línea 25, col 12
STRING          (=== FORMULARIO ===) -> línea 25, col 13
RPAREN          ()) -> línea 25, col 33
SEMICOLON       (;) -> línea 25, col 34
PRINTLN         (println) -> línea 27, col 5
